
 The run is 10000 proton of 69 MeV through 20 m   of Cu63 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	28.4858 cm  +- 28.1737 cm 	massic: 127.389 g/cm2 
 CrossSection:	0.0351052 cm^-1 		massic: 785 um2/mg
 crossSection per atom:	820.302 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 789.496 um2/mg	825 mbarn 
               total= 789.496 um2/mg	825 mbarn 

 List of nuclear reactions: 

  proton + Cu63 --> N gamma or e- + proton + neutron + alpha + deuteron + Fe56:     106   Q = -28.5946 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + alpha + triton + Fe55:      18   Q = -33.5344 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + deuteron + Ni60:     212   Q = -22.3104 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + deuteron + triton + Co57:       3   Q = -42.3844 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + triton + Ni59:      46   Q = -27.4408 MeV
      proton + Cu63 --> N gamma or e- + proton + triton + Ni60:       8   Q = -16.053 MeV
               proton + Cu63 --> N gamma or e- + triton + Cu61:       1   Q = -11.2564 MeV
    proton + Cu63 --> proton + 3 neutron + alpha + Co56[6.645]:       1   Q = -36.1779 MeV
                      proton + Cu63 --> proton + Cu63[288.405]:       1   Q = -288.405 keV
             proton + Cu63 --> proton + neutron + Cu62[11.993]:       1   Q = -10.8757 MeV
             proton + Cu63 --> proton + neutron + Cu62[18.297]:       1   Q = -10.882 MeV
              proton + Cu63 --> proton + neutron + Cu62[4.462]:       1   Q = -10.8681 MeV
              proton + Cu63 --> proton + neutron + Cu62[4.776]:       1   Q = -10.8684 MeV

                          number of gamma or e- (ic): N = 1 --> 14

 List of generated particles:
            B10:       4  Emean =  12.073 MeV	( 10.3775 MeV --> 14.1197 MeV)
            B11:       2  Emean = 12.5573 MeV	( 10.705 MeV --> 14.4097 MeV)
            Be7:       3  Emean = 13.5636 MeV	( 9.33917 MeV --> 15.87 MeV)
            C10:       1  Emean = 14.3143 MeV	( 14.3143 MeV --> 14.3143 MeV)
            C12:       2  Emean = 16.6457 MeV	( 12.5146 MeV --> 20.7768 MeV)
            C13:       3  Emean = 14.2518 MeV	( 13.0038 MeV --> 15.4656 MeV)
           Co55:      18  Emean =  1.9099 MeV	( 95.301 keV --> 4.65613 MeV)
           Co56:     412  Emean = 2.01687 MeV	( 49.2269 keV --> 6.06944 MeV)
    Co56[6.645]:       1  Emean = 1.00242 MeV	( 1.00242 MeV --> 1.00242 MeV)
           Co57:     866  Emean = 1.78989 MeV	( 12.5564 keV --> 7.70439 MeV)
           Co58:     213  Emean =  1.6472 MeV	( 78.9485 keV --> 7.32247 MeV)
   Co58[24.950]:     226  Emean = 1.63318 MeV	( 60.3679 keV --> 6.47942 MeV)
   Co58[35.390]:       1  Emean = 967.826 keV	( 967.826 keV --> 967.826 keV)
           Co59:     199  Emean = 1.49041 MeV	( 62.6114 keV --> 5.7825 MeV)
           Co60:      52  Emean = 1.35837 MeV	( 22.0869 keV --> 4.56917 MeV)
           Co61:      10  Emean = 1.01276 MeV	( 179.513 keV --> 2.05687 MeV)
           Cr49:       2  Emean = 6.76829 MeV	( 5.609 MeV --> 7.92758 MeV)
           Cr50:       3  Emean = 2.79465 MeV	( 1.45296 MeV --> 3.62472 MeV)
           Cr51:      16  Emean = 3.35065 MeV	( 388.228 keV --> 9.49558 MeV)
           Cr52:       8  Emean = 2.83794 MeV	( 1.07901 MeV --> 6.24011 MeV)
           Cr53:      11  Emean = 1.73974 MeV	( 187.745 keV --> 5.7862 MeV)
           Cr54:       4  Emean = 3.89927 MeV	( 929.986 keV --> 8.03147 MeV)
           Cu59:      18  Emean = 1.47815 MeV	( 222.056 keV --> 2.52858 MeV)
           Cu60:     259  Emean = 1.38991 MeV	( 27.0071 keV --> 4.26281 MeV)
           Cu61:     954  Emean = 1.12673 MeV	( 6.17088 keV --> 4.9088 MeV)
           Cu62:    1397  Emean = 917.942 keV	( 1.1878 keV --> 4.67488 MeV)
   Cu62[11.993]:       1  Emean = 6.28012 keV	( 6.28012 keV --> 6.28012 keV)
   Cu62[18.297]:       1  Emean =  1.2756 MeV	( 1.2756 MeV --> 1.2756 MeV)
    Cu62[4.462]:       1  Emean = 575.225 keV	( 575.225 keV --> 575.225 keV)
    Cu62[4.776]:       1  Emean = 3.32832 MeV	( 3.32832 MeV --> 3.32832 MeV)
           Cu63:     335  Emean = 641.569 keV	( 6.03591 keV --> 3.55591 MeV)
  Cu63[288.405]:       1  Emean = 2.09266 MeV	( 2.09266 MeV --> 2.09266 MeV)
           Fe53:       3  Emean = 2.67999 MeV	( 326.513 keV --> 4.23787 MeV)
           Fe54:      97  Emean = 2.47859 MeV	( 178.852 keV --> 6.61343 MeV)
           Fe55:      94  Emean = 2.19278 MeV	( 33.6366 keV --> 8.18943 MeV)
