
 The run is 10000 proton of 69 MeV through 20 m   of C12 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	16.8789 cm  +- 16.694 cm 	massic: 75.4825 g/cm2 
 CrossSection:	0.0592455 cm^-1 		massic: 1.32481 mm2/g 
 crossSection per atom:	263.988 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 1.3324 mm2/g 	265.5 mbarn 
               total= 1.3324 mm2/g 	265.5 mbarn 

 List of nuclear reactions: 

               proton + C12 --> N gamma or e- + deuteron + C11:       6   Q = -16.4973 MeV
          proton + C12 --> N gamma or e- + neutron + Be6 + Li6:     179   Q = -33.2438 MeV
                proton + C12 --> N gamma or e- + neutron + N12:     515   Q = -18.1209 MeV
  proton + C12 --> N gamma or e- + neutron + alpha + deuteron + Be6:       1   Q = -34.7176 MeV
  proton + C12 --> N gamma or e- + neutron + deuteron + He3 + Be7:       1   Q = -44.6176 MeV
        proton + C12 --> N gamma or e- + neutron + triton + C9:       1   Q = -44.6432 MeV
     proton + C12 --> N gamma or e- + proton + 2 neutron + C10:      15   Q = -31.8414 MeV
  proton + C12 --> N gamma or e- + proton + 2 neutron + He3 + Be7:       5   Q = -46.8419 MeV
             proton + C12 --> N gamma or e- + proton + 3 alpha:       1   Q = -7.27361 MeV
           proton + C12 --> N gamma or e- + proton + Be6 + He6:       1   Q = -35.9666 MeV
                 proton + C12 --> N gamma or e- + proton + C12:     210   Q = -4.15223e-08 eV 
  proton + C12 --> N gamma or e- + proton + alpha + deuteron + Li6:      11   Q = -29.6469 MeV
      proton + C12 --> N gamma or e- + proton + deuteron + B10:      40   Q = -25.1863 MeV
  proton + C12 --> N gamma or e- + proton + deuteron + He3 + Li7:       1   Q = -42.9731 MeV
       proton + C12 --> N gamma or e- + proton + neutron + C11:     980   Q = -18.7216 MeV
  proton + C12 --> N gamma or e- + proton + neutron + alpha + Be7:     174   Q = -26.2646 MeV
                            proton + C12 --> alpha + He3 + Li6:      21   Q = -24.1528 MeV
                       proton + C12 --> alpha + deuteron + Be7:       5   Q = -24.0402 MeV
                       proton + C12 --> alpha + triton + 2 He3:       5   Q = -39.9466 MeV
                      proton + C12 --> deuteron + C11[117.503]:       1   Q = -16.6148 MeV
                      proton + C12 --> deuteron + C11[801.362]:       1   Q = -17.2986 MeV
                      proton + C12 --> deuteron + C11[860.488]:       1   Q = -17.3577 MeV
                 proton + C12 --> neutron + Li6 + Be6[171.151]:       1   Q = -33.415 MeV
                 proton + C12 --> neutron + Li6 + Be6[243.204]:       1   Q = -33.487 MeV
                 proton + C12 --> neutron + Li6 + Be6[312.333]:       1   Q = -33.5561 MeV
                 proton + C12 --> neutron + Li6 + Be6[352.834]:       1   Q = -33.5966 MeV
                 proton + C12 --> neutron + Li6 + Be6[355.143]:       1   Q = -33.599 MeV
                 proton + C12 --> neutron + Li6 + Be6[422.564]:       1   Q = -33.6664 MeV
                 proton + C12 --> neutron + Li6 + Be6[426.652]:       1   Q = -33.6705 MeV
                 proton + C12 --> neutron + Li6 + Be6[579.259]:       1   Q = -33.8231 MeV
                 proton + C12 --> neutron + Li6 + Be6[604.123]:       1   Q = -33.8479 MeV
                 proton + C12 --> neutron + Li6 + Be6[645.013]:       1   Q = -33.8888 MeV
                 proton + C12 --> neutron + Li6 + Be6[646.858]:       1   Q = -33.8907 MeV
                 proton + C12 --> neutron + Li6 + Be6[703.186]:       1   Q = -33.947 MeV
                 proton + C12 --> neutron + Li6 + Be6[703.539]:       1   Q = -33.9474 MeV
